pair_idx,condition,method,A_idx,B_idx,A_subject,B_subject,A_relation,B_relation,n_mlp_A,n_mlp_B,n_attn_A,n_attn_B,p_new_A_solo,p_new_B_solo,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,p_true_A_postAB,p_true_B_postAB,kl_A_solo,kl_B_solo,kl_postA,kl_postAB,retention_A,retention_A_abs,success_B,kl_super_additivity,status,n_mlp_total,n_attn_total,n_params_total,kl_max_solo,kl_min_solo,kl_sum_solo,kl_postAB_vs_max_solo,kept
0,shared,ACDC,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,9,8,2,9,0.9999610185623169,1.0,0.9999610185623169,1.2310644040627872e-13,1.0,4.111975571077335e-20,2.6070018203620688e-33,9.90215015411377,40.25829315185547,9.90215015411377,31.41852569580078,1.2311123945938779e-13,1.2310644040627872e-13,1.0,-18.741917610168457,ok,17,11,28,40.25829315185547,9.90215015411377,50.16044330596924,0.7804236900280193,0
0,shared,ROMEtrace,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,5,5,0,0,0.9995371103286743,0.9995872378349304,0.9995371103286743,0.9989907145500183,1.0,5.1362697693100545e-20,3.372925403629835e-42,14.506574630737305,19.401268005371094,14.506574630737305,35.174320220947266,0.9994533511832528,0.9989907145500183,1.0,1.2664775848388672,ok,10,0,10,19.401268005371094,14.506574630737305,33.9078426361084,1.8129907906642764,1
0,shared,Random,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,9,8,0,0,0.9999980330467224,0.0017576012760400772,0.9999980330467224,0.9999986886978149,0.999997079372406,9.151069198954229e-38,6.260296174838083e-32,15.68795394897461,16.56180763244629,15.68795394897461,21.984691619873047,1.0000006556523822,0.9999986886978149,0.999997079372406,-10.265069961547852,ok,17,0,17,16.56180763244629,15.68795394897461,32.2497615814209,1.3274330983535136,1
1,shared,ACDC,231,2065,Italy,Italy,P37,P463,8,12,5,4,0.9912773966789246,1.0,0.9912773966789246,2.843703157395794e-07,0.9999985694885254,1.876962273020359e-21,1.0655891876458797e-34,39.10547637939453,38.821556091308594,39.10547637939453,30.360855102539062,2.868725915594413e-07,2.843703157395794e-07,0.9999985694885254,-47.56617736816406,ok,20,9,29,39.10547637939453,38.821556091308594,77.92703247070312,0.7763837168989665,0
1,shared,ROMEtrace,231,2065,Italy,Italy,P37,P463,5,5,0,0,0.9775012731552124,0.9999991059303284,0.9775012731552124,0.6663076877593994,1.0,2.497380286511225e-13,0.0,23.049108505249023,25.838333129882812,23.049108505249023,22.865436553955078,0.6816438055458163,0.6663076877593994,1.0,-26.022005081176758,ok,10,0,10,25.838333129882812,23.049108505249023,48.887441635131836,0.8849424008513347,1
1,shared,Random,231,2065,Italy,Italy,P37,P463,8,12,0,0,0.12446966022253036,1.0,0.12446966022253036,6.59242964579955e-14,0.9748095870018005,3.4279266166066524e-13,4.311712737148354e-28,11.806337356567383,54.550296783447266,11.806337356567383,24.939401626586914,5.296414912689099e-13,6.59242964579955e-14,0.9748095870018005,-41.417232513427734,ok,20,0,20,54.550296783447266,11.806337356567383,66.35663414001465,0.4571817771329619,0
2,shared,ACDC,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,8,10,4,3,0.9999964237213135,7.193495960547988e-18,0.9999964237213135,1.1142797195194416e-14,1.0,5.1750047936193644e-31,1.1045034495808208e-41,12.563333511352539,37.12962341308594,12.563333511352539,39.144813537597656,1.1142837045085047e-14,1.1142797195194416e-14,1.0,-10.54814338684082,ok,18,7,25,37.12962341308594,12.563333511352539,49.69295692443848,1.0542744563307767,0
2,shared,ROMEtrace,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,5,5,0,0,0.9999957084655762,1.569727885453176e-07,0.9999957084655762,1.5467339409269698e-08,9.88256587675096e-10,2.1402346041254905e-12,1.8909275187328767e-12,31.98914337158203,12.990933418273926,31.98914337158203,20.318748474121094,1.5467405788174086e-08,1.5467339409269698e-08,9.88256587675096e-10,-24.661328315734863,ok,10,0,10,31.98914337158203,12.990933418273926,44.98007678985596,0.6351763858788265,0
2,shared,Random,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,8,10,0,0,0.9999615550041199,1.0,0.9999615550041199,5.372477462736627e-16,1.0,3.526567917606897e-25,2.802596928649634e-45,12.079540252685547,48.234317779541016,12.079540252685547,41.411521911621094,5.37268401555147e-16,5.372477462736627e-16,1.0,-18.90233612060547,ok,18,0,18,48.234317779541016,12.079540252685547,60.31385803222656,0.8585489298489909,0
3,shared,ACDC,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,3,8,2,4,0.9999858140945435,0.9991845488548279,0.9999858140945435,7.590440276317167e-08,0.999180793762207,1.3604382281489142e-17,0.0,29.09878921508789,37.03657531738281,29.09878921508789,27.110530853271484,7.590547955112822e-08,7.590440276317167e-08,0.999180793762207,-39.02483367919922,ok,11,6,17,37.03657531738281,29.09878921508789,66.1353645324707,0.7319934583840255,0
3,shared,ROMEtrace,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,5,5,0,0,1.0,0.9633888602256775,1.0,0.9999992847442627,0.004065599292516708,1.401298464324817e-45,1.9902073170207754e-25,19.06629180908203,20.71255874633789,19.06629180908203,13.506315231323242,0.9999992847442627,0.9999992847442627,0.004065599292516708,-26.27253532409668,ok,10,0,10,20.71255874633789,19.06629180908203,39.77885055541992,0.6520833759233752,1
3,shared,Random,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,3,8,0,0,1.0,0.8064630627632141,1.0,0.9999998807907104,0.9996455907821655,1.2007419009088194e-26,0.0,11.672268867492676,14.042574882507324,11.672268867492676,10.493419647216797,0.9999998807907104,0.9999998807907104,0.9996455907821655,-15.221424102783203,ok,11,0,11,14.042574882507324,11.672268867492676,25.71484375,0.7472575175859187,1
4,shared,ACDC,431,1516,Orphan Black,Orphan Black,P136,P495,19,9,47,8,0.28946977853775024,0.9999724626541138,0.28946977853775024,1.3702366225646907e-15,0.9999998807907104,7.455328186093609e-25,3.892037204466103e-37,15.02576732635498,13.16358757019043,15.02576732635498,42.44213104248047,4.733608563513637e-15,1.3702366225646907e-15,0.9999998807907104,14.252776145935059,ok,28,55,83,15.02576732635498,13.16358757019043,28.18935489654541,2.824623203637499,0
4,shared,ROMEtrace,431,1516,Orphan Black,Orphan Black,P136,P495,5,5,0,0,1.0,0.7740929126739502,1.0,1.640337515193561e-18,1.0,8.403789149357882e-27,3.5032461608120427e-44,10.09939193725586,13.447904586791992,10.09939193725586,49.9912109375,1.640337515193561e-18,1.640337515193561e-18,1.0,26.44391441345215,ok,10,0,10,13.447904586791992,10.09939193725586,23.54729652404785,3.71739780088858,0
4,shared,Random,431,1516,Orphan Black,Orphan Black,P136,P495,19,9,0,0,1.0,0.9999998807907104,1.0,2.0411195371454536e-20,1.0,3.538747419890271e-19,1.6863225719684849e-41,28.865150451660156,35.186031341552734,28.865150451660156,37.53711700439453,2.0411195371454536e-20,2.0411195371454536e-20,1.0,-26.51406478881836,ok,28,0,28,35.186031341552734,28.865150451660156,64.05118179321289,1.0668187224645962,0
5,shared,ACDC,461,1933,New Nintendo 3DS,New Nintendo 3DS,P178,P176,2,1,0,0,0.9952477216720581,0.9999821186065674,0.9952477216720581,8.05799166340546e-26,1.0,0.0,0.0,10.781635284423828,13.161674499511719,10.781635284423828,14.36954402923584,8.096468334403915e-26,8.05799166340546e-26,1.0,-9.573765754699707,ok,3,0,3,13.161674499511719,10.781635284423828,23.943309783935547,1.09177172173411,0
5,shared,ROMEtrace,461,1933,New Nintendo 3DS,New Nintendo 3DS,P178,P176,5,5,0,0,0.9992371797561646,0.8321315050125122,0.9992371797561646,6.213861136958255e-22,1.0,4.677254014223374e-41,1.6364643726078079e-40,20.267738342285156,14.668089866638184,20.267738342285156,34.66783142089844,6.218604814599244e-22,6.213861136958255e-22,1.0,-0.26799678802490234,ok,10,0,10,20.267738342285156,14.668089866638184,34.93582820892334,1.7104933384979595,0
5,shared,Random,461,1933,New Nintendo 3DS,New Nintendo 3DS,P178,P176,2,1,0,0,0.998206615447998,1.0,0.998206615447998,2.3208121431254972e-26,1.0,0.0,0.0,12.023375511169434,12.343737602233887,12.023375511169434,35.38903045654297,2.3249817294427666e-26,2.3208121431254972e-26,1.0,11.021917343139648,ok,3,0,3,12.343737602233887,12.023375511169434,24.36711311340332,2.866962308898927,0
6,shared,ACDC,547,3075,Nina van Pallandt,Nina van Pallandt,P27,P19,6,14,5,21,0.9999459385871887,1.0,0.9999459385871887,6.922080096616323e-13,1.0,0.0,0.0,46.36003112792969,27.56881332397461,46.36003112792969,27.509632110595703,6.922454334277756e-13,6.922080096616323e-13,1.0,-46.419212341308594,ok,20,26,46,46.36003112792969,27.56881332397461,73.9288444519043,0.5933911483942571,0
6,shared,ROMEtrace,547,3075,Nina van Pallandt,Nina van Pallandt,P27,P19,5,5,0,0,0.9997144937515259,0.008422241546213627,0.9997144937515259,2.3445206279865127e-12,3.1268255042959936e-06,3.428754515808581e-22,1.9895432507553168e-21,12.046272277832031,8.546175003051758,12.046272277832031,9.692352294921875,2.345190194440886e-12,2.3445206279865127e-12,3.1268255042959936e-06,-10.900094985961914,ok,10,0,10,12.046272277832031,8.546175003051758,20.59244728088379,0.8045934934376403,0
6,shared,Random,547,3075,Nina van Pallandt,Nina van Pallandt,P27,P19,6,14,0,0,0.9998646974563599,1.0,0.9998646974563599,4.484204463735175e-22,1.0,0.0,0.0,34.0168342590332,48.35399627685547,34.0168342590332,29.811017990112305,4.484811270107766e-22,4.484204463735175e-22,1.0,-52.55981254577637,ok,20,0,20,48.35399627685547,34.0168342590332,82.37083053588867,0.6165161162569986,0
7,shared,ACDC,584,4162,Jean Marot,Jean Marot,P103,P1412,20,20,59,73,0.9999996423721313,0.6141830086708069,0.9999996423721313,4.221253490662271e-15,0.9997304677963257,3.5067494069728547e-41,2.947070800321523e-41,43.00188446044922,16.484127044677734,43.00188446044922,39.12775421142578,4.221255000300699e-15,4.221253490662271e-15,0.9997304677963257,-20.358257293701172,ok,40,132,172,43.00188446044922,16.484127044677734,59.48601150512695,0.909907895953103,0
7,shared,ROMEtrace,584,4162,Jean Marot,Jean Marot,P103,P1412,5,5,0,0,0.9999998807907104,0.9993218183517456,0.9999998807907104,2.424291212221874e-09,0.9994666576385498,3.057382975905776e-34,5.262238950101641e-38,17.841459274291992,27.71955108642578,17.841459274291992,32.343353271484375,2.4242915012199414e-09,2.424291212221874e-09,0.9994666576385498,-13.217657089233398,ok,10,0,10,27.71955108642578,17.841459274291992,45.56101036071777,1.1668065319904428,0
7,shared,Random,584,4162,Jean Marot,Jean Marot,P103,P1412,20,20,0,0,0.9999984502792358,0.9997598528862,0.9999984502792358,8.241111514994265e-14,0.4282955229282379,3.2321237160321104e-19,7.978885960988764e-20,20.744850158691406,29.70445442199707,20.744850158691406,15.19057559967041,8.241124286435692e-14,8.241111514994265e-14,0.4282955229282379,-35.258728981018066,ok,40,0,40,29.70445442199707,20.744850158691406,50.44930458068848,0.5113904932864654,0
8,shared,ACDC,750,1676,Afghanistan,Afghanistan,P30,P140,14,10,8,4,0.9999988079071045,0.9999997615814209,0.9999988079071045,1.0,2.6378049277915976e-24,1.4187896883227843e-22,0.9999992847442627,47.85273742675781,37.844329833984375,47.85273742675781,39.32891845703125,1.0000011920943166,1.0,2.6378049277915976e-24,-46.36814880371094,ok,24,12,36,47.85273742675781,37.844329833984375,85.69706726074219,0.821873952712258,1
8,shared,ROMEtrace,750,1676,Afghanistan,Afghanistan,P30,P140,5,5,0,0,0.9999977350234985,0.5468999743461609,0.9999977350234985,0.9853222370147705,0.4558666944503784,1.4626888763087963e-21,6.779187790746748e-21,19.561004638671875,11.73538589477539,19.561004638671875,12.880495071411133,0.9853244687515386,0.9853222370147705,0.4558666944503784,-18.415895462036133,ok,10,0,10,19.561004638671875,11.73538589477539,31.296390533447266,0.6584781972775849,1
8,shared,Random,750,1676,Afghanistan,Afghanistan,P30,P140,14,10,0,0,0.9999998807907104,0.9999750256538391,0.9999998807907104,3.79777043146845e-10,0.9999974966049194,1.5643829172194308e-21,3.758828987720246e-40,55.29475784301758,29.909557342529297,55.29475784301758,35.162845611572266,3.797770884198019e-10,3.79777043146845e-10,0.9999974966049194,-50.04146957397461,ok,24,0,24,55.29475784301758,29.909557342529297,85.20431518554688,0.6359164409653437,0
9,shared,ACDC,753,3134,George Dance the Younger,George Dance the Younger,P20,P1412,11,8,14,4,1.0,1.0,1.0,0.00010123733954969794,0.9775212407112122,7.533979547978697e-17,1.2498200122688482e-30,24.023513793945312,51.78729248046875,24.023513793945312,24.147796630859375,0.00010123733954969794,0.00010123733954969794,0.9775212407112122,-51.66300964355469,ok,19,18,37,51.78729248046875,24.023513793945312,75.81080627441406,0.4662880694132941,0
9,shared,ROMEtrace,753,3134,George Dance the Younger,George Dance the Younger,P20,P1412,5,5,0,0,0.9999982118606567,1.0,0.9999982118606567,0.10889776796102524,0.9999737739562988,1.7832672423087292e-19,4.146900705636212e-34,25.5102596282959,41.99823760986328,25.5102596282959,29.65614891052246,0.10889796268575672,0.10889776796102524,0.9999737739562988,-37.85234832763672,ok,10,0,10,41.99823760986328,25.5102596282959,67.50849723815918,0.7061284139112951,0
9,shared,Random,753,3134,George Dance the Younger,George Dance the Younger,P20,P1412,11,8,0,0,1.0,1.0,1.0,1.5362387536664752e-14,1.0,1.6496847846671603e-29,2.802596928649634e-45,45.9247932434082,49.170753479003906,45.9247932434082,48.495216369628906,1.5362387536664752e-14,1.5362387536664752e-14,1.0,-46.6003303527832,ok,19,0,19,49.170753479003906,45.9247932434082,95.09554672241211,0.9862614041563659,0
10,shared,ACDC,781,2037,European Union,European Union,P37,P30,9,16,5,33,0.9977294206619263,0.9976394772529602,0.9977294206619263,3.80379105990869e-08,0.01553112268447876,9.996376852843057e-16,1.401298464324817e-45,36.033409118652344,38.617340087890625,36.033409118652344,26.881332397460938,3.812447524485277e-08,3.80379105990869e-08,0.01553112268447876,-47.76941680908203,ok,25,38,63,38.617340087890625,36.033409118652344,74.65074920654297,0.6960948717928455,0
10,shared,ROMEtrace,781,2037,European Union,European Union,P37,P30,5,5,0,0,0.9987744688987732,0.988068699836731,0.9987744688987732,0.026097046211361885,0.18187369406223297,1.508534065250873e-19,9.198254053308698e-29,11.233205795288086,15.966512680053711,11.233205795288086,17.07724380493164,0.026129068197083487,0.026097046211361885,0.18187369406223297,-10.122474670410156,ok,10,0,10,15.966512680053711,11.233205795288086,27.199718475341797,1.069566294602673,0
10,shared,Random,781,2037,European Union,European Union,P37,P30,9,16,0,0,0.9914520978927612,0.9842817187309265,0.9914520978927612,0.9764793515205383,0.0009538849117234349,1.0568461958640246e-32,4.048827763009727e-20,13.853506088256836,15.427497863769531,13.853506088256836,27.82425308227539,0.9848981646172861,0.9764793515205383,0.0009538849117234349,-1.4567508697509766,ok,25,0,25,15.427497863769531,13.853506088256836,29.281003952026367,1.8035493070862014,1
11,shared,ACDC,799,3046,John Paul II,John Paul II,P39,P103,23,11,183,6,0.8072109818458557,1.0,0.8072109818458557,1.4614776352143847e-15,1.0,3.5655020391157055e-23,5.465064010866787e-44,17.064071655273438,39.132476806640625,17.064071655273438,34.62138366699219,1.810527443361105e-15,1.4614776352143847e-15,1.0,-21.575164794921875,ok,34,189,223,39.132476806640625,17.064071655273438,56.19654846191406,0.8847225244152468,0
11,shared,ROMEtrace,799,3046,John Paul II,John Paul II,P39,P103,5,5,0,0,0.9999993443489075,0.7460231781005859,0.9999993443489075,0.999896764755249,0.9999825954437256,3.4257481895053496e-29,1.3641695695265143e-32,15.977437973022461,14.932558059692383,15.977437973022461,20.70369529724121,0.9998974203390851,0.999896764755249,0.9999825954437256,-10.206300735473633,ok,10,0,10,15.977437973022461,14.932558059692383,30.909996032714844,1.2958082098142973,1
11,shared,Random,799,3046,John Paul II,John Paul II,P39,P103,23,11,0,0,0.9999917149543762,0.9999996423721313,0.9999917149543762,0.9996812343597412,1.0,2.7613427018599115e-40,0.0,31.95932388305664,12.668516159057617,31.95932388305664,23.225784301757812,0.9996895168329978,0.9996812343597412,1.0,-21.402055740356445,ok,34,0,34,31.95932388305664,12.668516159057617,44.62784004211426,0.7267295261546836,1
12,shared,ACDC,861,4621,The Decameron,The Decameron,P364,P495,15,10,19,10,0.00012696179328486323,0.6637207865715027,0.00012696179328486323,3.985270724538026e-10,0.8558189272880554,1.0285019607886851e-29,6.343285746867718e-30,14.402599334716797,17.49395179748535,14.402599334716797,13.74482250213623,3.138952767937283e-06,3.985270724538026e-10,0.8558189272880554,-18.151728630065918,ok,25,29,54,17.49395179748535,14.402599334716797,31.89655113220215,0.7856899722401182,0
12,shared,ROMEtrace,861,4621,The Decameron,The Decameron,P364,P495,5,5,0,0,0.999994158744812,0.017419371753931046,0.999994158744812,0.02368636429309845,2.1816678952291113e-07,3.651765830766427e-17,1.6876016778683348e-14,26.459888458251953,9.280611038208008,26.459888458251953,15.203012466430664,0.02368650265200495,0.02368636429309845,2.1816678952291113e-07,-20.537487030029297,ok,10,0,10,26.459888458251953,9.280611038208008,35.74049949645996,0.5745682749350122,0
12,shared,Random,861,4621,The Decameron,The Decameron,P364,P495,15,10,0,0,0.0005223173066042364,0.9964610934257507,0.0005223173066042364,0.1199793741106987,0.001361854374408722,6.305382903045993e-38,7.550238164736044e-40,8.64828872680664,23.340606689453125,8.64828872680664,16.83855438232422,229.70591361547196,0.1199793741106987,0.001361854374408722,-15.150341033935547,ok,25,0,25,23.340606689453125,8.64828872680664,31.988895416259766,0.7214274507240218,0
13,shared,ACDC,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,7,5,5,4,0.3567391335964203,0.9013590812683105,0.3567391335964203,1.1740690364359097e-10,0.6427212357521057,1.585920962967908e-17,3.1505456151586064e-37,16.556583404541016,15.460447311401367,16.556583404541016,18.345823287963867,3.291113662243e-10,1.1740690364359097e-10,0.6427212357521057,-13.671207427978516,ok,12,9,21,16.556583404541016,15.460447311401367,32.01703071594238,1.1080681828916534,0
13,shared,ROMEtrace,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,5,5,0,0,0.9999969005584717,0.046530645340681076,0.9999969005584717,7.603983631990219e-13,0.9761096239089966,5.112363280254992e-20,2.0279575734975813e-34,15.56004810333252,11.190839767456055,15.56004810333252,13.533535957336426,7.604007200165916e-13,7.603983631990219e-13,0.9761096239089966,-13.217351913452148,ok,10,0,10,15.56004810333252,11.190839767456055,26.750887870788574,0.8697618328337897,0
13,shared,Random,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,7,5,0,0,1.0,0.9979894757270813,1.0,4.613613297280682e-14,0.6561241149902344,4.65695293556217e-21,1.571854705607691e-28,60.363014221191406,35.530757904052734,60.363014221191406,20.540685653686523,4.613613297280682e-14,4.613613297280682e-14,0.6561241149902344,-75.35308647155762,ok,12,0,12,60.363014221191406,35.530757904052734,95.89377212524414,0.3402859502412884,0
14,shared,ACDC,956,1905,Largo Winch II,Largo Winch II,P364,P495,15,3,18,4,0.9998210072517395,7.669554179301485e-05,0.9998210072517395,0.9516891241073608,0.0007305940962396562,1.0050494050731473e-20,2.362287371162426e-38,35.875091552734375,13.430334091186523,35.875091552734375,19.609561920166016,0.9518595000552336,0.9516891241073608,0.0007305940962396562,-29.695863723754883,ok,18,22,40,35.875091552734375,13.430334091186523,49.3054256439209,0.5466066028386591,1
