step,p_new_A,p_new_B,kl_neutral,loss,pair_idx,A_idx,B_idx,p_A_postA
0,0.9999957084655762,3.796627454696194e-13,9.96833610534668,,0,11,1221,0.9999957084655762
1,0.9999942779541016,7.572636406827371e-10,21.331628799438477,-0.04658716917037964,0,11,1221,0.9999957084655762
2,1.7878717493923602e-16,0.028943520039319992,17.039344787597656,-18.666868209838867,0,11,1221,0.9999957084655762
3,7.433693959869869e-14,0.27230390906333923,13.578749656677246,-36.93377685546875,0,11,1221,0.9999957084655762
4,7.760001563198045e-19,0.9999998807907104,29.157503128051758,-48.5659294128418,0,11,1221,0.9999957084655762
5,8.94555053133645e-15,1.0,22.790746688842773,-88.05069732666016,0,11,1221,0.9999957084655762
6,1.3203869720084137e-20,1.0,39.20089340209961,-99.14029693603516,0,11,1221,0.9999957084655762
7,2.7060382423156685e-18,1.0,33.85093307495117,-109.27388000488281,0,11,1221,0.9999957084655762
8,8.564907318548846e-17,1.0,27.191783905029297,-112.9013900756836,0,11,1221,0.9999957084655762
9,1.0685577314096832e-19,1.0,15.32131576538086,-118.84793853759766,0,11,1221,0.9999957084655762
10,3.238156333899702e-17,1.0,11.272665023803711,-120.91571044921875,0,11,1221,0.9999957084655762
11,2.3447624279408666e-16,1.0,8.778242111206055,-122.74158477783203,0,11,1221,0.9999957084655762
12,1.4608385488556813e-15,1.0,6.434620380401611,-124.16987609863281,0,11,1221,0.9999957084655762
13,1.3190759384296494e-15,1.0,5.933488368988037,-124.76181030273438,0,11,1221,0.9999957084655762
14,9.088203415741694e-14,1.0,5.40484094619751,-124.97113037109375,0,11,1221,0.9999957084655762
15,3.4510312359528617e-13,1.0,5.210136413574219,-125.06348419189453,0,11,1221,0.9999957084655762
0,0.9956222176551819,4.691078081542344e-10,20.062299728393555,,1,231,2065,0.9956222176551819
1,0.8377707004547119,0.00019261908892076463,12.788375854492188,-1.0123608112335205,1,231,2065,0.9956222176551819
2,0.9928679466247559,3.327438585082332e-12,26.051042556762695,-11.627670288085938,1,231,2065,0.9956222176551819
3,1.5671059489439285e-19,0.9999992847442627,28.3865966796875,-25.247472763061523,1,231,2065,0.9956222176551819
4,4.038681630239637e-18,1.0,37.39591598510742,-69.73058319091797,1,231,2065,0.9956222176551819
5,5.95214525094024e-24,1.0,43.96064376831055,-94.19904327392578,1,231,2065,0.9956222176551819
6,5.861673357518384e-25,1.0,47.13665771484375,-107.89119720458984,1,231,2065,0.9956222176551819
7,3.507877830609948e-25,1.0,50.908416748046875,-117.92501831054688,1,231,2065,0.9956222176551819
8,1.787239914209877e-24,1.0,52.58904266357422,-123.3108139038086,1,231,2065,0.9956222176551819
9,1.85584689445494e-27,1.0,50.504051208496094,-124.86408233642578,1,231,2065,0.9956222176551819
10,1.391429842483753e-26,1.0,50.49114990234375,-123.6780014038086,1,231,2065,0.9956222176551819
11,9.557833797277121e-25,1.0,51.30320358276367,-125.05592346191406,1,231,2065,0.9956222176551819
12,3.557323444794736e-23,1.0,50.258277893066406,-126.13408660888672,1,231,2065,0.9956222176551819
13,3.037648701705911e-23,1.0,45.184940338134766,-126.18904876708984,1,231,2065,0.9956222176551819
14,1.3558917005131743e-21,1.0,40.2943115234375,-127.021728515625,1,231,2065,0.9956222176551819
15,1.8545937355285425e-12,1.0,22.754066467285156,-127.48341369628906,1,231,2065,0.9956222176551819
0,0.9999809265136719,1.621869142514382e-21,41.39319610595703,,2,257,4161,0.9999809265136719
1,0.9996080994606018,2.25543330968742e-19,40.92641830444336,-0.8215336799621582,2,257,4161,0.9999809265136719
2,0.06083734333515167,0.7944284081459045,17.35484504699707,-3.955881118774414,2,257,4161,0.9999809265136719
3,0.9967029690742493,0.0031742483843117952,33.04644775390625,-45.547576904296875,2,257,4161,0.9999809265136719
4,4.6632256545579e-22,1.0,36.3514289855957,-55.60060501098633,2,257,4161,0.9999809265136719
5,9.617003295549355e-26,1.0,43.5704345703125,-73.35379791259766,2,257,4161,0.9999809265136719
6,5.196860829643376e-25,1.0,44.588871002197266,-87.6581039428711,2,257,4161,0.9999809265136719
7,1.1227628494348147e-23,1.0,34.9726676940918,-103.00806427001953,2,257,4161,0.9999809265136719
8,0.999913215637207,1.0,42.03394317626953,-112.92662048339844,2,257,4161,0.9999809265136719
9,5.5422892728529405e-06,1.0,32.43711471557617,-115.59937286376953,2,257,4161,0.9999809265136719
10,1.5766697855388209e-22,1.0,30.825590133666992,-118.51107788085938,2,257,4161,0.9999809265136719
11,2.787581252050586e-05,1.0,30.651473999023438,-119.52742767333984,2,257,4161,0.9999809265136719
12,1.1288902896922082e-05,1.0,29.549699783325195,-120.26061248779297,2,257,4161,0.9999809265136719
13,1.813399103411939e-05,1.0,26.574369430541992,-120.7548828125,2,257,4161,0.9999809265136719
14,0.0022750322241336107,1.0,26.109195709228516,-121.0379638671875,2,257,4161,0.9999809265136719
15,6.171429589585387e-08,1.0,30.55666160583496,-121.06993103027344,2,257,4161,0.9999809265136719
0,1.0,1.218096799640212e-20,34.85566329956055,,3,410,1895,1.0
1,3.762769379390095e-15,0.9909031987190247,16.70440101623535,6.266240119934082,3,410,1895,1.0
2,0.9999974966049194,5.644130995907659e-13,36.04648971557617,-83.45405578613281,3,410,1895,1.0
3,3.113274922608374e-19,0.9992185831069946,33.53107452392578,-48.50566482543945,3,410,1895,1.0
4,1.6089414357670945e-29,0.9949294328689575,19.506729125976562,-121.62152099609375,3,410,1895,1.0
5,1.111548637769646e-27,0.999894380569458,15.102437973022461,-105.74691772460938,3,410,1895,1.0
6,6.4765159821765245e-15,0.9995154142379761,12.303272247314453,-132.99371337890625,3,410,1895,1.0
7,7.993871656100264e-30,0.999954104423523,7.31492280960083,-137.74041748046875,3,410,1895,1.0
8,2.4692189830548e-29,0.9999505281448364,5.825869560241699,-144.47621154785156,3,410,1895,1.0
9,5.059378963823895e-28,0.9999575614929199,4.3471174240112305,-146.7261199951172,3,410,1895,1.0
10,1.7347231681186404e-29,0.9999732971191406,3.787203788757324,-147.18011474609375,3,410,1895,1.0
11,1.72025322762612e-30,0.9999847412109375,3.05789852142334,-147.72634887695312,3,410,1895,1.0
12,9.092852421350692e-30,0.9999873638153076,2.511610984802246,-148.13665771484375,3,410,1895,1.0
13,2.377496569453358e-29,0.9999897480010986,1.903325080871582,-148.389404296875,3,410,1895,1.0
14,5.678642809161376e-30,0.9999936819076538,1.6721247434616089,-148.53433227539062,3,410,1895,1.0
15,3.7833460594774726e-30,0.9999957084655762,1.3577250242233276,-148.6028594970703,3,410,1895,1.0
0,1.0,2.7670916936957773e-20,35.52668380737305,,4,431,1516,1.0
1,1.0330920119372422e-08,0.001682285568676889,17.56946563720703,2.4391963481903076,4,431,1516,1.0
2,4.861608945277984e-12,0.9974411725997925,24.513572692871094,-23.249427795410156,4,431,1516,1.0
3,1.4380713620246698e-17,0.9999998807907104,39.16893768310547,-38.4648551940918,4,431,1516,1.0
4,1.1540385500615189e-17,1.0,38.06669235229492,-68.6009292602539,4,431,1516,1.0
5,6.822604148304379e-10,1.0,21.468446731567383,-88.14297485351562,4,431,1516,1.0
6,8.66634346750883e-13,1.0,13.424017906188965,-101.64226531982422,4,431,1516,1.0
7,7.820379344103401e-10,1.0,11.925580024719238,-93.03264617919922,4,431,1516,1.0
8,1.925623133169907e-10,1.0,6.512343883514404,-107.6379165649414,4,431,1516,1.0
9,6.995138409487955e-12,1.0,5.304883003234863,-109.49854278564453,4,431,1516,1.0
10,9.317525917484915e-12,1.0,6.21414041519165,-111.38275146484375,4,431,1516,1.0
11,1.31209335063609e-10,1.0,4.99798583984375,-112.57180786132812,4,431,1516,1.0
12,1.6364094801435414e-10,1.0,4.716163158416748,-113.3782730102539,4,431,1516,1.0
13,3.92727322884312e-10,1.0,4.590997695922852,-113.74923706054688,4,431,1516,1.0
14,1.888503103897321e-10,1.0,3.852041721343994,-114.0333480834961,4,431,1516,1.0
15,1.6544808578711212e-10,1.0,3.580064535140991,-114.43321990966797,4,431,1516,1.0
0,0.9987372756004333,6.225763248152999e-20,14.274513244628906,,5,461,1933,0.9987372756004333
1,0.9983798265457153,1.4142070410862712e-19,17.168392181396484,-47.61900329589844,5,461,1933,0.9987372756004333
2,1.4130304317905146e-24,1.0,11.775001525878906,-61.12874221801758,5,461,1933,0.9987372756004333
3,2.5536972407200937e-22,1.0,15.569499015808105,-67.6698226928711,5,461,1933,0.9987372756004333
4,6.690487016464185e-18,1.0,8.689017295837402,-96.9375,5,461,1933,0.9987372756004333
5,1.1984334945794076e-37,1.0,6.400452613830566,-113.1699447631836,5,461,1933,0.9987372756004333
6,7.195018308651506e-37,1.0,5.356558799743652,-127.46275329589844,5,461,1933,0.9987372756004333
7,1.9472219252503366e-39,1.0,4.986040115356445,-133.70680236816406,5,461,1933,0.9987372756004333
8,4.380173134592656e-39,1.0,8.92336368560791,-137.4058074951172,5,461,1933,0.9987372756004333
9,2.1470975330077712e-40,1.0,6.1817169189453125,-136.2323760986328,5,461,1933,0.9987372756004333
10,1.988302391030483e-40,1.0,5.924980163574219,-139.2139892578125,5,461,1933,0.9987372756004333
11,2.134611963690637e-40,1.0,6.26575231552124,-141.02273559570312,5,461,1933,0.9987372756004333
12,1.5957146132652422e-40,1.0,9.535531044006348,-141.8402557373047,5,461,1933,0.9987372756004333
13,1.1585655443344723e-40,1.0,6.364650249481201,-141.58050537109375,5,461,1933,0.9987372756004333
14,3.2629234741803365e-41,1.0,4.858092308044434,-141.5897674560547,5,461,1933,0.9987372756004333
15,1.5485749329253553e-41,1.0,4.764636993408203,-141.90377807617188,5,461,1933,0.9987372756004333
0,0.999677300453186,4.442319862418029e-22,30.369096755981445,,6,547,3075,0.999677300453186
1,7.16448789451861e-17,0.9999865293502808,14.529829025268555,-47.88722229003906,6,547,3075,0.999677300453186
2,4.215459625811491e-08,0.9999967813491821,29.47238540649414,-74.40152740478516,6,547,3075,0.999677300453186
3,2.6093214366591694e-39,1.0,46.686920166015625,-93.5894775390625,6,547,3075,0.999677300453186
4,1.7436495520141667e-38,1.0,40.477989196777344,-105.40543365478516,6,547,3075,0.999677300453186
5,3.3609248181060095e-36,1.0,12.081762313842773,-115.76922607421875,6,547,3075,0.999677300453186
6,8.011214406044669e-35,1.0,7.842787265777588,-123.23762512207031,6,547,3075,0.999677300453186
7,1.4445532527820009e-33,1.0,7.018549919128418,-128.44732666015625,6,547,3075,0.999677300453186
8,1.7428935066511126e-36,1.0,6.267824172973633,-129.0200653076172,6,547,3075,0.999677300453186
9,5.34553796022272e-37,1.0,5.8980512619018555,-127.54330444335938,6,547,3075,0.999677300453186
10,6.829777868142071e-36,1.0,5.013503551483154,-128.8839874267578,6,547,3075,0.999677300453186
11,1.1772380773055874e-35,1.0,4.244223594665527,-129.66860961914062,6,547,3075,0.999677300453186
12,4.163013799472362e-37,1.0,5.326066493988037,-130.86090087890625,6,547,3075,0.999677300453186
13,5.672350357526834e-37,1.0,2.8278768062591553,-131.2793426513672,6,547,3075,0.999677300453186
14,2.2982376393133704e-36,1.0,2.9015378952026367,-131.3740997314453,6,547,3075,0.999677300453186
15,6.735392502036068e-36,1.0,2.387392520904541,-131.26248168945312,6,547,3075,0.999677300453186
0,0.9999992847442627,3.082738331272594e-08,9.292267799377441,,7,584,4162,0.9999992847442627
1,0.999993085861206,9.514676824196044e-10,13.225614547729492,-16.064680099487305,7,584,4162,0.9999992847442627
2,2.0545053303067107e-07,0.9998134970664978,28.911394119262695,-46.44812774658203,7,584,4162,0.9999992847442627
3,3.057610533273509e-16,0.9999240636825562,17.052453994750977,-83.90355682373047,7,584,4162,0.9999992847442627
4,6.983892374133748e-21,0.999985933303833,18.4720516204834,-96.67245483398438,7,584,4162,0.9999992847442627
5,6.751029028392537e-24,0.9999749660491943,14.2406005859375,-100.99430084228516,7,584,4162,0.9999992847442627
6,3.0645463835228575e-25,0.9999904632568359,48.52864456176758,-101.48809814453125,7,584,4162,0.9999992847442627
7,2.415000132241744e-26,0.9999810457229614,41.04471969604492,-98.98101043701172,7,584,4162,0.9999992847442627
8,1.9653870489368805e-27,0.9999470710754395,26.977807998657227,-100.4297103881836,7,584,4162,0.9999992847442627
9,1.208963883619578e-28,0.999897837638855,10.819952964782715,-101.63838195800781,7,584,4162,0.9999992847442627
10,1.2385473976026547e-30,0.9999759197235107,6.762063980102539,-102.76593780517578,7,584,4162,0.9999992847442627
11,2.210446126862522e-31,0.999988317489624,6.486843109130859,-103.67565155029297,7,584,4162,0.9999992847442627
12,1.3602040099466565e-30,0.9999855756759644,5.4218292236328125,-104.27412414550781,7,584,4162,0.9999992847442627
13,1.5718185718517421e-30,0.9999943971633911,5.395235538482666,-104.67240142822266,7,584,4162,0.9999992847442627
14,1.2928416008761748e-30,0.9999922513961792,5.069756984710693,-104.59458923339844,7,584,4162,0.9999992847442627
15,6.873020019116628e-31,0.9999887943267822,5.020654678344727,-104.79385375976562,7,584,4162,0.9999992847442627
